l1d cache size,l1i cache size,l2 cache size,unrolling factor,number of cycles
2kB,32kB,512kB,4,59768569
2kB,32kB,512kB,8,59617068
2kB,32kB,512kB,16,59536962
2kB,32kB,512kB,32,59379035
2kB,32kB,1024kB,2,59978908
2kB,32kB,1024kB,4,59794934
2kB,32kB,1024kB,8,59653091
2kB,32kB,1024kB,16,59568186
2kB,32kB,1024kB,32,59375975
4kB,32kB,128kB,2,59902050
4kB,32kB,128kB,4,59708763
4kB,32kB,128kB,8,59552713
4kB,32kB,128kB,16,59458286
4kB,32kB,128kB,32,59265185
4kB,32kB,256kB,2,59884008
4kB,32kB,256kB,4,59693430
4kB,32kB,256kB,8,59541024
4kB,32kB,256kB,16,59443825
4kB,32kB,256kB,32,59254407
4kB,32kB,512kB,2,59850710
4kB,32kB,512kB,4,59656748
4kB,32kB,512kB,8,59511661
4kB,32kB,512kB,16,59425238
4kB,32kB,512kB,32,59246189
4kB,32kB,1024kB,2,59841052
4kB,32kB,1024kB,4,59655297
4kB,32kB,1024kB,8,59510676
4kB,32kB,1024kB,16,59438603
4kB,32kB,1024kB,32,59259265
8kB,32kB,128kB,2,59806929
8kB,32kB,128kB,4,59619894
8kB,32kB,128kB,8,59457158
8kB,32kB,128kB,16,59363113
8kB,32kB,128kB,32,59223314
8kB,32kB,256kB,2,59789775
8kB,32kB,256kB,4,59604321
8kB,32kB,256kB,8,59447387
8kB,32kB,256kB,16,59350273
8kB,32kB,256kB,32,59215337
8kB,32kB,512kB,2,59766401
8kB,32kB,512kB,4,59573341
8kB,32kB,512kB,8,59427611
8kB,32kB,512kB,16,59341965
8kB,32kB,512kB,32,59207229
8kB,32kB,1024kB,2,59770976
8kB,32kB,1024kB,4,59585795
8kB,32kB,1024kB,8,59443927
8kB,32kB,1024kB,16,59362948
8kB,32kB,1024kB,32,59221365
16kB,32kB,128kB,2,42902980
16kB,32kB,128kB,4,42691050
16kB,32kB,128kB,8,42524646
16kB,32kB,128kB,16,42451378
16kB,32kB,128kB,32,42326961
16kB,32kB,256kB,2,42887408
16kB,32kB,256kB,4,42674234
16kB,32kB,256kB,8,42506682
16kB,32kB,256kB,16,42434206
16kB,32kB,256kB,32,42328690
16kB,32kB,512kB,2,42819392
16kB,32kB,512kB,4,42619961
16kB,32kB,512kB,8,42439472
16kB,32kB,512kB,16,42371775
16kB,32kB,512kB,32,42351562
16kB,32kB,1024kB,2,42885138
16kB,32kB,1024kB,4,42683346
16kB,32kB,1024kB,8,42504789
16kB,32kB,1024kB,16,42492642
16kB,32kB,1024kB,32,42306395
32kB,32kB,128kB,2,42532791
32kB,32kB,128kB,4,42307500
32kB,32kB,128kB,8,42180240
32kB,32kB,128kB,16,42126970
32kB,32kB,128kB,32,41898540
32kB,32kB,256kB,2,42525499
32kB,32kB,256kB,4,42321943
32kB,32kB,256kB,8,42171073
