L1D_cache_size,L1I_cache_size,L2_cache_size,unrolling_factor,number of cycles,L1I_KB,L1D_KB,L2_KB,total_Memory_KB,exec_time_cc
32kB,8kB,256kB,32,41915798,8,32,256,296,41915798
32kB,8kB,512kB,2,42525015,8,32,512,552,42525015
32kB,8kB,512kB,4,42300274,8,32,512,552,42300274
32kB,8kB,512kB,8,42165220,8,32,512,552,42165220
32kB,8kB,512kB,16,42119416,8,32,512,552,42119416
32kB,8kB,512kB,32,41907554,8,32,512,552,41907554
32kB,8kB,1024kB,2,42538288,8,32,1024,1064,42538288
32kB,8kB,1024kB,4,42314846,8,32,1024,1064,42314846
32kB,8kB,1024kB,8,42188658,8,32,1024,1064,42188658
32kB,8kB,1024kB,16,42137255,8,32,1024,1064,42137255
32kB,8kB,1024kB,32,41940531,8,32,1024,1064,41940531
64kB,8kB,128kB,2,42724967,8,64,128,200,42724967
64kB,8kB,128kB,4,42504112,8,64,128,200,42504112
64kB,8kB,128kB,8,42352353,8,64,128,200,42352353
64kB,8kB,128kB,16,42303064,8,64,128,200,42303064
64kB,8kB,128kB,32,42187433,8,64,128,200,42187433
64kB,8kB,256kB,2,42538904,8,64,256,328,42538904
64kB,8kB,256kB,4,42313183,8,64,256,328,42313183
64kB,8kB,256kB,8,42183393,8,64,256,328,42183393
64kB,8kB,256kB,16,42141861,8,64,256,328,42141861
64kB,8kB,256kB,32,41921899,8,64,256,328,41921899
64kB,8kB,512kB,2,42521289,8,64,512,584,42521289
64kB,8kB,512kB,4,42315121,8,64,512,584,42315121
64kB,8kB,512kB,8,42203192,8,64,512,584,42203192
64kB,8kB,512kB,16,42128860,8,64,512,584,42128860
64kB,8kB,512kB,32,41904591,8,64,512,584,41904591
64kB,8kB,1024kB,2,42533334,8,64,1024,1096,42533334
64kB,8kB,1024kB,4,42307060,8,64,1024,1096,42307060
64kB,8kB,1024kB,8,42168111,8,64,1024,1096,42168111
64kB,8kB,1024kB,16,42131976,8,64,1024,1096,42131976
64kB,8kB,1024kB,32,41940531,8,64,1024,1096,41940531
2kB,16kB,128kB,2,60005266,16,2,128,146,60005266
2kB,16kB,128kB,4,59817912,16,2,128,146,59817912
2kB,16kB,128kB,8,59655036,16,2,128,146,59655036
2kB,16kB,128kB,16,59559746,16,2,128,146,59559746
2kB,16kB,128kB,32,59411925,16,2,128,146,59411925
2kB,16kB,256kB,2,60004197,16,2,256,274,60004197
2kB,16kB,256kB,4,59803203,16,2,256,274,59803203
2kB,16kB,256kB,8,59650306,16,2,256,274,59650306
2kB,16kB,256kB,16,59563182,16,2,256,274,59563182
2kB,16kB,256kB,32,59397275,16,2,256,274,59397275
2kB,16kB,512kB,2,59968503,16,2,512,530,59968503
2kB,16kB,512kB,4,59778858,16,2,512,530,59778858
2kB,16kB,512kB,8,59617686,16,2,512,530,59617686
2kB,16kB,512kB,16,59538881,16,2,512,530,59538881
2kB,16kB,512kB,32,59382221,16,2,512,530,59382221
2kB,16kB,1024kB,2,59975639,16,2,1024,1042,59975639
2kB,16kB,1024kB,4,59793865,16,2,1024,1042,59793865
2kB,16kB,1024kB,8,59647499,16,2,1024,1042,59647499
2kB,16kB,1024kB,16,59571263,16,2,1024,1042,59571263
2kB,16kB,1024kB,32,59382607,16,2,1024,1042,59382607
4kB,16kB,128kB,2,59902474,16,4,128,148,59902474
4kB,16kB,128kB,4,59714104,16,4,128,148,59714104
4kB,16kB,128kB,8,59557946,16,4,128,148,59557946
4kB,16kB,128kB,16,59456548,16,4,128,148,59456548
4kB,16kB,128kB,32,59266744,16,4,128,148,59266744
4kB,16kB,256kB,2,59886901,16,4,256,276,59886901
4kB,16kB,256kB,4,59684849,16,4,256,276,59684849
4kB,16kB,256kB,8,59544209,16,4,256,276,59544209
4kB,16kB,256kB,16,59447444,16,4,256,276,59447444
4kB,16kB,256kB,32,59255176,16,4,256,276,59255176
4kB,16kB,512kB,2,59864650,16,4,512,532,59864650
4kB,16kB,512kB,4,59671653,16,4,512,532,59671653
4kB,16kB,512kB,8,59519309,16,4,512,532,59519309
4kB,16kB,512kB,16,59432138,16,4,512,532,59432138
4kB,16kB,512kB,32,59244650,16,4,512,532,59244650
4kB,16kB,1024kB,2,59841786,16,4,1024,1044,59841786
4kB,16kB,1024kB,4,59655901,16,4,1024,1044,59655901
